Date,ControlPoint,Beishang,Nanxia,NetFlow
2021-09-13,Express Rail Link West Kowloon,0,0,0
2021-09-13,Hung Hom,0,0,0
2021-09-13,Lo Wu,0,0,0
2021-09-13,Lok Ma Chau Spur Line,0,0,0
2021-09-13,Heung Yuen Wai,0,0,0
2021-09-13,Lok Ma Chau,0,0,0
2021-09-13,Man Kam To,0,0,0
2021-09-13,Sha Tau Kok,0,0,0
2021-09-13,Shenzhen Bay,506,-62,444
2021-09-14,Express Rail Link West Kowloon,0,0,0
2021-09-14,Hung Hom,0,0,0
2021-09-14,Lo Wu,0,0,0
2021-09-14,Lok Ma Chau Spur Line,0,0,0
2021-09-14,Heung Yuen Wai,0,0,0
2021-09-14,Lok Ma Chau,0,0,0
2021-09-14,Man Kam To,0,0,0
2021-09-14,Sha Tau Kok,0,0,0
2021-09-14,Shenzhen Bay,605,-45,560
2021-09-15,Express Rail Link West Kowloon,0,0,0
2021-09-15,Hung Hom,0,0,0
2021-09-15,Lo Wu,0,0,0
2021-09-15,Lok Ma Chau Spur Line,0,0,0
2021-09-15,Heung Yuen Wai,0,0,0
2021-09-15,Lok Ma Chau,0,0,0
2021-09-15,Man Kam To,0,0,0
2021-09-15,Sha Tau Kok,0,0,0
2021-09-15,Shenzhen Bay,679,-255,424
2021-09-16,Express Rail Link West Kowloon,0,0,0
2021-09-16,Hung Hom,0,0,0
2021-09-16,Lo Wu,0,0,0
2021-09-16,Lok Ma Chau Spur Line,0,0,0
2021-09-16,Heung Yuen Wai,0,0,0
2021-09-16,Lok Ma Chau,0,0,0
2021-09-16,Man Kam To,0,0,0
2021-09-16,Sha Tau Kok,0,0,0
2021-09-16,Shenzhen Bay,638,-236,402
2021-09-17,Express Rail Link West Kowloon,0,0,0
2021-09-17,Hung Hom,0,0,0
2021-09-17,Lo Wu,0,0,0
2021-09-17,Lok Ma Chau Spur Line,0,0,0
2021-09-17,Heung Yuen Wai,0,0,0
2021-09-17,Lok Ma Chau,0,0,0
2021-09-17,Man Kam To,0,0,0
2021-09-17,Sha Tau Kok,0,0,0
2021-09-17,Shenzhen Bay,620,-254,366
2021-09-18,Express Rail Link West Kowloon,0,0,0
2021-09-18,Hung Hom,0,0,0
2021-09-18,Lo Wu,0,0,0
2021-09-18,Lok Ma Chau Spur Line,0,0,0
2021-09-18,Heung Yuen Wai,0,0,0
2021-09-18,Lok Ma Chau,0,0,0
2021-09-18,Man Kam To,0,0,0
2021-09-18,Sha Tau Kok,0,0,0
2021-09-18,Shenzhen Bay,739,-301,438
2021-09-19,Express Rail Link West Kowloon,0,0,0
2021-09-19,Hung Hom,0,0,0
2021-09-19,Lo Wu,0,0,0
2021-09-19,Lok Ma Chau Spur Line,0,0,0
2021-09-19,Heung Yuen Wai,0,0,0
2021-09-19,Lok Ma Chau,0,0,0
2021-09-19,Man Kam To,0,0,0
2021-09-19,Sha Tau Kok,0,0,0
2021-09-19,Shenzhen Bay,394,-287,107
2021-09-20,Express Rail Link West Kowloon,0,0,0
2021-09-20,Hung Hom,0,0,0
2021-09-20,Lo Wu,0,0,0
2021-09-20,Lok Ma Chau Spur Line,0,0,0
2021-09-20,Heung Yuen Wai,0,0,0
2021-09-20,Lok Ma Chau,0,0,0
2021-09-20,Man Kam To,0,0,0
2021-09-20,Sha Tau Kok,0,0,0
2021-09-20,Shenzhen Bay,367,-184,183
2021-09-21,Express Rail Link West Kowloon,0,0,0
2021-09-21,Hung Hom,0,0,0
2021-09-21,Lo Wu,0,0,0
2021-09-21,Lok Ma Chau Spur Line,0,0,0
2021-09-21,Heung Yuen Wai,0,0,0
2021-09-21,Lok Ma Chau,0,0,0
2021-09-21,Man Kam To,0,0,0
2021-09-21,Sha Tau Kok,0,0,0
2021-09-21,Shenzhen Bay,370,-114,256
2021-09-22,Express Rail Link West Kowloon,0,0,0
2021-09-22,Hung Hom,0,0,0
2021-09-22,Lo Wu,0,0,0
2021-09-22,Lok Ma Chau Spur Line,0,0,0
2021-09-22,Heung Yuen Wai,0,0,0
2021-09-22,Lok Ma Chau,0,0,0
2021-09-22,Man Kam To,0,0,0
2021-09-22,Sha Tau Kok,0,0,0
2021-09-22,Shenzhen Bay,798,-202,596
2021-09-23,Express Rail Link West Kowloon,0,0,0
2021-09-23,Hung Hom,0,0,0
2021-09-23,Lo Wu,0,0,0
2021-09-23,Lok Ma Chau Spur Line,0,0,0
2021-09-23,Heung Yuen Wai,0,0,0
2021-09-23,Lok Ma Chau,0,0,0
2021-09-23,Man Kam To,0,0,0
2021-09-23,Sha Tau Kok,0,0,0
2021-09-23,Shenzhen Bay,779,-193,586
2021-09-24,Express Rail Link West Kowloon,0,0,0
2021-09-24,Hung Hom,0,0,0
2021-09-24,Lo Wu,0,0,0
2021-09-24,Lok Ma Chau Spur Line,0,0,0
2021-09-24,Heung Yuen Wai,0,0,0
2021-09-24,Lok Ma Chau,0,0,0
2021-09-24,Man Kam To,0,0,0
2021-09-24,Sha Tau Kok,0,0,0
2021-09-24,Shenzhen Bay,866,-217,649
2021-09-25,Express Rail Link West Kowloon,0,0,0
2021-09-25,Hung Hom,0,0,0
2021-09-25,Lo Wu,0,0,0
2021-09-25,Lok Ma Chau Spur Line,0,0,0
2021-09-25,Heung Yuen Wai,0,0,0
2021-09-25,Lok Ma Chau,0,0,0
2021-09-25,Man Kam To,0,0,0
2021-09-25,Sha Tau Kok,0,0,0
2021-09-25,Shenzhen Bay,989,-236,753
2021-09-26,Express Rail Link West Kowloon,0,0,0
2021-09-26,Hung Hom,0,0,0
2021-09-26,Lo Wu,0,0,0
2021-09-26,Lok Ma Chau Spur Line,0,0,0
2021-09-26,Heung Yuen Wai,0,0,0
2021-09-26,Lok Ma Chau,0,0,0
2021-09-26,Man Kam To,0,0,0
2021-09-26,Sha Tau Kok,0,0,0
2021-09-26,Shenzhen Bay,665,-201,464
2021-09-27,Express Rail Link West Kowloon,0,0,0
2021-09-27,Hung Hom,0,0,0
2021-09-27,Lo Wu,0,0,0
2021-09-27,Lok Ma Chau Spur Line,0,0,0
2021-09-27,Heung Yuen Wai,0,0,0
2021-09-27,Lok Ma Chau,0,0,0
2021-09-27,Man Kam To,0,0,0
2021-09-27,Sha Tau Kok,0,0,0
2021-09-27,Shenzhen Bay,669,-138,531
2021-09-28,Express Rail Link West Kowloon,0,0,0
2021-09-28,Hung Hom,0,0,0
2021-09-28,Lo Wu,0,0,0
2021-09-28,Lok Ma Chau Spur Line,0,0,0
2021-09-28,Heung Yuen Wai,0,0,0
2021-09-28,Lok Ma Chau,0,0,0
2021-09-28,Man Kam To,0,0,0
2021-09-28,Sha Tau Kok,0,0,0
2021-09-28,Shenzhen Bay,733,-216,517
2021-09-29,Express Rail Link West Kowloon,0,0,0
2021-09-29,Hung Hom,0,0,0
2021-09-29,Lo Wu,0,0,0
2021-09-29,Lok Ma Chau Spur Line,0,0,0
2021-09-29,Heung Yuen Wai,0,0,0
2021-09-29,Lok Ma Chau,0,0,0
2021-09-29,Man Kam To,0,0,0
2021-09-29,Sha Tau Kok,0,0,0
2021-09-29,Shenzhen Bay,751,-233,518
2021-09-30,Express Rail Link West Kowloon,0,0,0
2021-09-30,Hung Hom,0,0,0
2021-09-30,Lo Wu,0,0,0
2021-09-30,Lok Ma Chau Spur Line,0,0,0
2021-09-30,Heung Yuen Wai,0,0,0
2021-09-30,Lok Ma Chau,0,0,0
2021-09-30,Man Kam To,0,0,0
2021-09-30,Sha Tau Kok,0,0,0
2021-09-30,Shenzhen Bay,766,-234,532
2021-10-01,Express Rail Link West Kowloon,0,0,0
2021-10-01,Hung Hom,0,0,0
2021-10-01,Lo Wu,0,0,0
2021-10-01,Lok Ma Chau Spur Line,0,0,0
2021-10-01,Heung Yuen Wai,0,0,0
2021-10-01,Lok Ma Chau,0,0,0
2021-10-01,Man Kam To,0,0,0
2021-10-01,Sha Tau Kok,0,0,0
2021-10-01,Shenzhen Bay,616,-145,471
2021-10-02,Express Rail Link West Kowloon,0,0,0
2021-10-02,Hung Hom,0,0,0
2021-10-02,Lo Wu,0,0,0
2021-10-02,Lok Ma Chau Spur Line,0,0,0
2021-10-02,Heung Yuen Wai,0,0,0
2021-10-02,Lok Ma Chau,0,0,0
2021-10-02,Man Kam To,0,0,0
2021-10-02,Sha Tau Kok,0,0,0
2021-10-02,Shenzhen Bay,708,-200,508
2021-10-03,Express Rail Link West Kowloon,0,0,0
2021-10-03,Hung Hom,0,0,0
2021-10-03,Lo Wu,0,0,0
2021-10-03,Lok Ma Chau Spur Line,0,0,0
2021-10-03,Heung Yuen Wai,0,0,0
2021-10-03,Lok Ma Chau,0,0,0
2021-10-03,Man Kam To,0,0,0
2021-10-03,Sha Tau Kok,0,0,0
2021-10-03,Shenzhen Bay,638,-211,427
2021-10-04,Express Rail Link West Kowloon,0,0,0
2021-10-04,Hung Hom,0,0,0
2021-10-04,Lo Wu,0,0,0
2021-10-04,Lok Ma Chau Spur Line,0,0,0
2021-10-04,Heung Yuen Wai,0,0,0
2021-10-04,Lok Ma Chau,0,0,0
2021-10-04,Man Kam To,0,0,0
2021-10-04,Sha Tau Kok,0,0,0
2021-10-04,Shenzhen Bay,808,-155,653
2021-10-05,Express Rail Link West Kowloon,0,0,0
2021-10-05,Hung Hom,0,0,0
2021-10-05,Lo Wu,0,0,0
2021-10-05,Lok Ma Chau Spur Line,0,0,0
2021-10-05,Heung Yuen Wai,0,0,0
2021-10-05,Lok Ma Chau,0,0,0
2021-10-05,Man Kam To,0,0,0
2021-10-05,Sha Tau Kok,0,0,0
2021-10-05,Shenzhen Bay,838,-101,737
2021-10-06,Express Rail Link West Kowloon,0,0,0
2021-10-06,Hung Hom,0,0,0
2021-10-06,Lo Wu,0,0,0
2021-10-06,Lok Ma Chau Spur Line,0,0,0
2021-10-06,Heung Yuen Wai,0,0,0
2021-10-06,Lok Ma Chau,0,0,0
2021-10-06,Man Kam To,0,0,0
2021-10-06,Sha Tau Kok,0,0,0
2021-10-06,Shenzhen Bay,836,-137,699
2021-10-07,Express Rail Link West Kowloon,0,0,0
2021-10-07,Hung Hom,0,0,0
2021-10-07,Lo Wu,0,0,0
2021-10-07,Lok Ma Chau Spur Line,0,0,0
2021-10-07,Heung Yuen Wai,0,0,0
2021-10-07,Lok Ma Chau,0,0,0
2021-10-07,Man Kam To,0,0,0
2021-10-07,Sha Tau Kok,0,0,0
2021-10-07,Shenzhen Bay,757,-119,638
2021-10-08,Express Rail Link West Kowloon,0,0,0
2021-10-08,Hung Hom,0,0,0
2021-10-08,Lo Wu,0,0,0
2021-10-08,Lok Ma Chau Spur Line,0,0,0
2021-10-08,Heung Yuen Wai,0,0,0
2021-10-08,Lok Ma Chau,0,0,0
2021-10-08,Man Kam To,0,0,0
2021-10-08,Sha Tau Kok,0,0,0
2021-10-08,Shenzhen Bay,968,-149,819
2021-10-09,Express Rail Link West Kowloon,0,0,0
2021-10-09,Hung Hom,0,0,0
2021-10-09,Lo Wu,0,0,0
2021-10-09,Lok Ma Chau Spur Line,0,0,0
2021-10-09,Heung Yuen Wai,0,0,0
2021-10-09,Lok Ma Chau,0,0,0
2021-10-09,Man Kam To,0,0,0
2021-10-09,Sha Tau Kok,0,0,0
2021-10-09,Shenzhen Bay,427,-223,204
2021-10-10,Express Rail Link West Kowloon,0,0,0
2021-10-10,Hung Hom,0,0,0
2021-10-10,Lo Wu,0,0,0
2021-10-10,Lok Ma Chau Spur Line,0,0,0
2021-10-10,Heung Yuen Wai,0,0,0
2021-10-10,Lok Ma Chau,0,0,0
2021-10-10,Man Kam To,0,0,0
2021-10-10,Sha Tau Kok,0,0,0
2021-10-10,Shenzhen Bay,177,-240,-63
2021-10-11,Express Rail Link West Kowloon,0,0,0
2021-10-11,Hung Hom,0,0,0
2021-10-11,Lo Wu,0,0,0
2021-10-11,Lok Ma Chau Spur Line,0,0,0
2021-10-11,Heung Yuen Wai,0,0,0
2021-10-11,Lok Ma Chau,0,0,0
2021-10-11,Man Kam To,0,0,0
2021-10-11,Sha Tau Kok,0,0,0
2021-10-11,Shenzhen Bay,1693,-153,1540
2021-10-12,Express Rail Link West Kowloon,0,0,0
2021-10-12,Hung Hom,0,0,0
2021-10-12,Lo Wu,0,0,0
2021-10-12,Lok Ma Chau Spur Line,0,0,0
2021-10-12,Heung Yuen Wai,0,0,0
2021-10-12,Lok Ma Chau,0,0,0
2021-10-12,Man Kam To,0,0,0
2021-10-12,Sha Tau Kok,0,0,0
2021-10-12,Shenzhen Bay,1049,-206,843
2021-10-13,Express Rail Link West Kowloon,0,0,0
2021-10-13,Hung Hom,0,0,0
2021-10-13,Lo Wu,0,0,0
2021-10-13,Lok Ma Chau Spur Line,0,0,0
2021-10-13,Heung Yuen Wai,0,0,0
2021-10-13,Lok Ma Chau,0,0,0
2021-10-13,Man Kam To,0,0,0
2021-10-13,Sha Tau Kok,0,0,0
2021-10-13,Shenzhen Bay,239,-206,33
2021-10-14,Express Rail Link West Kowloon,0,0,0
2021-10-14,Hung Hom,0,0,0
2021-10-14,Lo Wu,0,0,0
2021-10-14,Lok Ma Chau Spur Line,0,0,0
2021-10-14,Heung Yuen Wai,0,0,0
2021-10-14,Lok Ma Chau,0,0,0
2021-10-14,Man Kam To,0,0,0
2021-10-14,Sha Tau Kok,0,0,0
2021-10-14,Shenzhen Bay,140,-203,-63
2021-10-15,Express Rail Link West Kowloon,0,0,0
2021-10-15,Hung Hom,0,0,0
2021-10-15,Lo Wu,0,0,0
2021-10-15,Lok Ma Chau Spur Line,0,0,0
2021-10-15,Heung Yuen Wai,0,0,0
2021-10-15,Lok Ma Chau,0,0,0
2021-10-15,Man Kam To,0,0,0
2021-10-15,Sha Tau Kok,0,0,0
2021-10-15,Shenzhen Bay,928,-188,740
2021-10-16,Express Rail Link West Kowloon,0,0,0
2021-10-16,Hung Hom,0,0,0
2021-10-16,Lo Wu,0,0,0
2021-10-16,Lok Ma Chau Spur Line,0,0,0
2021-10-16,Heung Yuen Wai,0,0,0
2021-10-16,Lok Ma Chau,0,0,0
2021-10-16,Man Kam To,0,0,0
2021-10-16,Sha Tau Kok,0,0,0
2021-10-16,Shenzhen Bay,1008,-187,821
2021-10-17,Express Rail Link West Kowloon,0,0,0
2021-10-17,Hung Hom,0,0,0
2021-10-17,Lo Wu,0,0,0
2021-10-17,Lok Ma Chau Spur Line,0,0,0
2021-10-17,Heung Yuen Wai,0,0,0
2021-10-17,Lok Ma Chau,0,0,0
2021-10-17,Man Kam To,0,0,0
2021-10-17,Sha Tau Kok,0,0,0
2021-10-17,Shenzhen Bay,727,-221,506
2021-10-18,Express Rail Link West Kowloon,0,0,0
2021-10-18,Hung Hom,0,0,0
2021-10-18,Lo Wu,0,0,0
2021-10-18,Lok Ma Chau Spur Line,0,0,0
2021-10-18,Heung Yuen Wai,0,0,0
2021-10-18,Lok Ma Chau,0,0,0
2021-10-18,Man Kam To,0,0,0
2021-10-18,Sha Tau Kok,0,0,0
2021-10-18,Shenzhen Bay,792,-176,616
2021-10-19,Express Rail Link West Kowloon,0,0,0
2021-10-19,Hung Hom,0,0,0
2021-10-19,Lo Wu,0,0,0
2021-10-19,Lok Ma Chau Spur Line,0,0,0
2021-10-19,Heung Yuen Wai,0,0,0
2021-10-19,Lok Ma Chau,0,0,0
2021-10-19,Man Kam To,0,0,0
2021-10-19,Sha Tau Kok,0,0,0
2021-10-19,Shenzhen Bay,840,-165,675
2021-10-20,Express Rail Link West Kowloon,0,0,0
2021-10-20,Hung Hom,0,0,0
2021-10-20,Lo Wu,0,0,0
2021-10-20,Lok Ma Chau Spur Line,0,0,0
2021-10-20,Heung Yuen Wai,0,0,0
2021-10-20,Lok Ma Chau,0,0,0
2021-10-20,Man Kam To,0,0,0
2021-10-20,Sha Tau Kok,0,0,0
2021-10-20,Shenzhen Bay,739,-176,563
2021-10-21,Express Rail Link West Kowloon,0,0,0
2021-10-21,Hung Hom,0,0,0
2021-10-21,Lo Wu,0,0,0
2021-10-21,Lok Ma Chau Spur Line,0,0,0
2021-10-21,Heung Yuen Wai,0,0,0
2021-10-21,Lok Ma Chau,0,0,0
2021-10-21,Man Kam To,0,0,0
2021-10-21,Sha Tau Kok,0,0,0
2021-10-21,Shenzhen Bay,748,-149,599
2021-10-22,Express Rail Link West Kowloon,0,0,0
2021-10-22,Hung Hom,0,0,0
2021-10-22,Lo Wu,0,0,0
2021-10-22,Lok Ma Chau Spur Line,0,0,0
2021-10-22,Heung Yuen Wai,0,0,0
2021-10-22,Lok Ma Chau,0,0,0
2021-10-22,Man Kam To,0,0,0
2021-10-22,Sha Tau Kok,0,0,0
2021-10-22,Shenzhen Bay,653,-164,489
2021-10-23,Express Rail Link West Kowloon,0,0,0
2021-10-23,Hung Hom,0,0,0
2021-10-23,Lo Wu,0,0,0
2021-10-23,Lok Ma Chau Spur Line,0,0,0
2021-10-23,Heung Yuen Wai,0,0,0
2021-10-23,Lok Ma Chau,0,0,0
2021-10-23,Man Kam To,0,0,0
2021-10-23,Sha Tau Kok,0,0,0
2021-10-23,Shenzhen Bay,549,-173,376
2021-10-24,Express Rail Link West Kowloon,0,0,0
2021-10-24,Hung Hom,0,0,0
2021-10-24,Lo Wu,0,0,0
2021-10-24,Lok Ma Chau Spur Line,0,0,0
2021-10-24,Heung Yuen Wai,0,0,0
2021-10-24,Lok Ma Chau,0,0,0
2021-10-24,Man Kam To,0,0,0
2021-10-24,Sha Tau Kok,0,0,0
2021-10-24,Shenzhen Bay,435,-241,194
2021-10-25,Express Rail Link West Kowloon,0,0,0
2021-10-25,Hung Hom,0,0,0
2021-10-25,Lo Wu,0,0,0
2021-10-25,Lok Ma Chau Spur Line,0,0,0
2021-10-25,Heung Yuen Wai,0,0,0
2021-10-25,Lok Ma Chau,0,0,0
2021-10-25,Man Kam To,0,0,0
2021-10-25,Sha Tau Kok,0,0,0
2021-10-25,Shenzhen Bay,670,-176,494
2021-10-26,Express Rail Link West Kowloon,0,0,0
2021-10-26,Hung Hom,0,0,0
2021-10-26,Lo Wu,0,0,0
2021-10-26,Lok Ma Chau Spur Line,0,0,0
2021-10-26,Heung Yuen Wai,0,0,0
2021-10-26,Lok Ma Chau,0,0,0
2021-10-26,Man Kam To,0,0,0
2021-10-26,Sha Tau Kok,0,0,0
2021-10-26,Shenzhen Bay,668,-202,466
2021-10-27,Express Rail Link West Kowloon,0,0,0
2021-10-27,Hung Hom,0,0,0
2021-10-27,Lo Wu,0,0,0
2021-10-27,Lok Ma Chau Spur Line,0,0,0
2021-10-27,Heung Yuen Wai,0,0,0
2021-10-27,Lok Ma Chau,0,0,0
2021-10-27,Man Kam To,0,0,0
2021-10-27,Sha Tau Kok,0,0,0
2021-10-27,Shenzhen Bay,638,-188,450
2021-10-28,Express Rail Link West Kowloon,0,0,0
2021-10-28,Hung Hom,0,0,0
2021-10-28,Lo Wu,0,0,0
2021-10-28,Lok Ma Chau Spur Line,0,0,0
2021-10-28,Heung Yuen Wai,0,0,0
2021-10-28,Lok Ma Chau,0,0,0
2021-10-28,Man Kam To,0,0,0
2021-10-28,Sha Tau Kok,0,0,0
2021-10-28,Shenzhen Bay,602,-132,470
2021-10-29,Express Rail Link West Kowloon,0,0,0
2021-10-29,Hung Hom,0,0,0
2021-10-29,Lo Wu,0,0,0
2021-10-29,Lok Ma Chau Spur Line,0,0,0
2021-10-29,Heung Yuen Wai,0,0,0
2021-10-29,Lok Ma Chau,0,0,0
2021-10-29,Man Kam To,0,0,0
2021-10-29,Sha Tau Kok,0,0,0
2021-10-29,Shenzhen Bay,540,-144,396
2021-10-30,Express Rail Link West Kowloon,0,0,0
2021-10-30,Hung Hom,0,0,0
2021-10-30,Lo Wu,0,0,0
2021-10-30,Lok Ma Chau Spur Line,0,0,0
2021-10-30,Heung Yuen Wai,0,0,0
2021-10-30,Lok Ma Chau,0,0,0
2021-10-30,Man Kam To,0,0,0
2021-10-30,Sha Tau Kok,0,0,0
2021-10-30,Shenzhen Bay,477,-175,302
2021-10-31,Express Rail Link West Kowloon,0,0,0
2021-10-31,Hung Hom,0,0,0
2021-10-31,Lo Wu,0,0,0
2021-10-31,Lok Ma Chau Spur Line,0,0,0
2021-10-31,Heung Yuen Wai,0,0,0
2021-10-31,Lok Ma Chau,0,0,0
2021-10-31,Man Kam To,0,0,0
2021-10-31,Sha Tau Kok,0,0,0
2021-10-31,Shenzhen Bay,444,-155,289
2021-11-01,Express Rail Link West Kowloon,0,0,0
2021-11-01,Hung Hom,0,0,0
2021-11-01,Lo Wu,0,0,0
2021-11-01,Lok Ma Chau Spur Line,0,0,0
2021-11-01,Heung Yuen Wai,0,0,0
2021-11-01,Lok Ma Chau,0,0,0
2021-11-01,Man Kam To,0,0,0
2021-11-01,Sha Tau Kok,0,0,0
2021-11-01,Shenzhen Bay,737,-148,589
2021-11-02,Express Rail Link West Kowloon,0,0,0
2021-11-02,Hung Hom,0,0,0
2021-11-02,Lo Wu,0,0,0
2021-11-02,Lok Ma Chau Spur Line,0,0,0
2021-11-02,Heung Yuen Wai,0,0,0
2021-11-02,Lok Ma Chau,0,0,0
2021-11-02,Man Kam To,0,0,0
2021-11-02,Sha Tau Kok,0,0,0
2021-11-02,Shenzhen Bay,786,-144,642
2021-11-03,Express Rail Link West Kowloon,0,0,0
2021-11-03,Hung Hom,0,0,0
2021-11-03,Lo Wu,0,0,0
2021-11-03,Lok Ma Chau Spur Line,0,0,0
2021-11-03,Heung Yuen Wai,0,0,0
2021-11-03,Lok Ma Chau,0,0,0
2021-11-03,Man Kam To,0,0,0
2021-11-03,Sha Tau Kok,0,0,0
2021-11-03,Shenzhen Bay,775,-207,568
2021-11-04,Express Rail Link West Kowloon,0,0,0
2021-11-04,Hung Hom,0,0,0
2021-11-04,Lo Wu,0,0,0
2021-11-04,Lok Ma Chau Spur Line,0,0,0
2021-11-04,Heung Yuen Wai,0,0,0
2021-11-04,Lok Ma Chau,0,0,0
2021-11-04,Man Kam To,0,0,0
2021-11-04,Sha Tau Kok,0,0,0
2021-11-04,Shenzhen Bay,637,-140,497
2021-11-05,Express Rail Link West Kowloon,0,0,0
2021-11-05,Hung Hom,0,0,0
2021-11-05,Lo Wu,0,0,0
2021-11-05,Lok Ma Chau Spur Line,0,0,0
2021-11-05,Heung Yuen Wai,0,0,0
2021-11-05,Lok Ma Chau,0,0,0
2021-11-05,Man Kam To,0,0,0
2021-11-05,Sha Tau Kok,0,0,0
2021-11-05,Shenzhen Bay,744,-189,555
2021-11-06,Express Rail Link West Kowloon,0,0,0
2021-11-06,Hung Hom,0,0,0
2021-11-06,Lo Wu,0,0,0
2021-11-06,Lok Ma Chau Spur Line,0,0,0
2021-11-06,Heung Yuen Wai,0,0,0
2021-11-06,Lok Ma Chau,0,0,0
2021-11-06,Man Kam To,0,0,0
2021-11-06,Sha Tau Kok,0,0,0
2021-11-06,Shenzhen Bay,620,-275,345
2021-11-07,Express Rail Link West Kowloon,0,0,0
2021-11-07,Hung Hom,0,0,0
2021-11-07,Lo Wu,0,0,0
2021-11-07,Lok Ma Chau Spur Line,0,0,0
2021-11-07,Heung Yuen Wai,0,0,0
2021-11-07,Lok Ma Chau,0,0,0
2021-11-07,Man Kam To,0,0,0
2021-11-07,Sha Tau Kok,0,0,0
2021-11-07,Shenzhen Bay,439,-195,244
2021-11-08,Express Rail Link West Kowloon,0,0,0
2021-11-08,Hung Hom,0,0,0
2021-11-08,Lo Wu,0,0,0
2021-11-08,Lok Ma Chau Spur Line,0,0,0
2021-11-08,Heung Yuen Wai,0,0,0
2021-11-08,Lok Ma Chau,0,0,0
2021-11-08,Man Kam To,0,0,0
2021-11-08,Sha Tau Kok,0,0,0
2021-11-08,Shenzhen Bay,729,-152,577
2021-11-09,Express Rail Link West Kowloon,0,0,0
2021-11-09,Hung Hom,0,0,0
2021-11-09,Lo Wu,0,0,0
2021-11-09,Lok Ma Chau Spur Line,0,0,0
2021-11-09,Heung Yuen Wai,0,0,0
2021-11-09,Lok Ma Chau,0,0,0
2021-11-09,Man Kam To,0,0,0
2021-11-09,Sha Tau Kok,0,0,0
2021-11-09,Shenzhen Bay,772,-160,612
2021-11-10,Express Rail Link West Kowloon,0,0,0
2021-11-10,Hung Hom,0,0,0
2021-11-10,Lo Wu,0,0,0
2021-11-10,Lok Ma Chau Spur Line,0,0,0
2021-11-10,Heung Yuen Wai,0,0,0
2021-11-10,Lok Ma Chau,0,0,0
2021-11-10,Man Kam To,0,0,0
2021-11-10,Sha Tau Kok,0,0,0
2021-11-10,Shenzhen Bay,827,-199,628
2021-11-11,Express Rail Link West Kowloon,0,0,0
2021-11-11,Hung Hom,0,0,0
2021-11-11,Lo Wu,0,0,0
2021-11-11,Lok Ma Chau Spur Line,0,0,0
2021-11-11,Heung Yuen Wai,0,0,0
2021-11-11,Lok Ma Chau,0,0,0
2021-11-11,Man Kam To,0,0,0
2021-11-11,Sha Tau Kok,0,0,0
2021-11-11,Shenzhen Bay,539,-194,345
2021-11-12,Express Rail Link West Kowloon,0,0,0
2021-11-12,Hung Hom,0,0,0
2021-11-12,Lo Wu,0,0,0
2021-11-12,Lok Ma Chau Spur Line,0,0,0
2021-11-12,Heung Yuen Wai,0,0,0
2021-11-12,Lok Ma Chau,0,0,0
2021-11-12,Man Kam To,0,0,0
2021-11-12,Sha Tau Kok,0,0,0
2021-11-12,Shenzhen Bay,665,-167,498
2021-11-13,Express Rail Link West Kowloon,0,0,0
2021-11-13,Hung Hom,0,0,0
2021-11-13,Lo Wu,0,0,0
2021-11-13,Lok Ma Chau Spur Line,0,0,0
2021-11-13,Heung Yuen Wai,0,0,0
2021-11-13,Lok Ma Chau,0,0,0
2021-11-13,Man Kam To,0,0,0
2021-11-13,Sha Tau Kok,0,0,0
2021-11-13,Shenzhen Bay,650,-211,439
2021-11-14,Express Rail Link West Kowloon,0,0,0
2021-11-14,Hung Hom,0,0,0
2021-11-14,Lo Wu,0,0,0
2021-11-14,Lok Ma Chau Spur Line,0,0,0
2021-11-14,Heung Yuen Wai,0,0,0
2021-11-14,Lok Ma Chau,0,0,0
2021-11-14,Man Kam To,0,0,0
2021-11-14,Sha Tau Kok,0,0,0
2021-11-14,Shenzhen Bay,438,-139,299
2021-11-15,Express Rail Link West Kowloon,0,0,0
2021-11-15,Hung Hom,0,0,0
2021-11-15,Lo Wu,0,0,0
2021-11-15,Lok Ma Chau Spur Line,0,0,0
2021-11-15,Heung Yuen Wai,0,0,0
2021-11-15,Lok Ma Chau,0,0,0
2021-11-15,Man Kam To,0,0,0
2021-11-15,Sha Tau Kok,0,0,0
2021-11-15,Shenzhen Bay,727,-151,576
2021-11-16,Express Rail Link West Kowloon,0,0,0
2021-11-16,Hung Hom,0,0,0
2021-11-16,Lo Wu,0,0,0
2021-11-16,Lok Ma Chau Spur Line,0,0,0
2021-11-16,Heung Yuen Wai,0,0,0
2021-11-16,Lok Ma Chau,0,0,0
2021-11-16,Man Kam To,0,0,0
2021-11-16,Sha Tau Kok,0,0,0
2021-11-16,Shenzhen Bay,806,-147,659
2021-11-17,Express Rail Link West Kowloon,0,0,0
2021-11-17,Hung Hom,0,0,0
2021-11-17,Lo Wu,0,0,0
2021-11-17,Lok Ma Chau Spur Line,0,0,0
2021-11-17,Heung Yuen Wai,0,0,0
2021-11-17,Lok Ma Chau,0,0,0
2021-11-17,Man Kam To,0,0,0
2021-11-17,Sha Tau Kok,0,0,0
2021-11-17,Shenzhen Bay,700,-126,574
2021-11-18,Express Rail Link West Kowloon,0,0,0
2021-11-18,Hung Hom,0,0,0
2021-11-18,Lo Wu,0,0,0
2021-11-18,Lok Ma Chau Spur Line,0,0,0
2021-11-18,Heung Yuen Wai,0,0,0
2021-11-18,Lok Ma Chau,0,0,0
2021-11-18,Man Kam To,0,0,0
